Unnamed: 0,year,Name of municipality,Number of inhabitants,Men,Women,Unmarried,Married,Separated,fine particles,ash particles,NO2,Households total,Households without children,Percentage of family house,Percentage of multiple dwelling units,Owner-occupied housing,Rental housing total,Average electricity consumption total,Average natural gas consumption total,Average per capita income, Low-income households,Passenger cars total
11859,2014,Ferwerderadiel,4215,2120,2095,46.0,42.0,5.0,15.8,0.39,10.9,1745,32.0,97.0,3.0,68.0,31.0,2650.0,1400.0,17.5,9.4,1940
11885,2014,Alphen-Chaam,4035,2070,1965,42.0,49.0,4.0,20.92,0.81,17.41,1610,37.0,93.0,7.0,77.0,22.0,3800.0,1550.0,23.3,6.0,2335
11898,2014,Bergeijk,10120,5085,5030,42.0,47.0,5.0,21.36,0.87,16.29,4130,36.0,86.0,14.0,76.0,23.0,3700.0,1550.0,22.1,6.5,5360
11916,2014,Bladel,10340,5220,5120,44.0,45.0,6.0,21.82,0.9,18.58,4240,35.0,80.0,20.0,71.0,27.0,3450.0,1350.0,22.2,6.3,5215
11931,2014,Gulpen-Wittem,4680,2320,2360,37.0,46.0,8.0,20.19,0.81,11.72,2135,34.0,67.0,33.0,55.0,39.0,3150.0,1400.0,23.2,7.6,2420
11964,2014,Tynaarlo,7380,3565,3810,40.0,45.0,7.0,16.94,0.48,12.46,3200,35.0,85.0,15.0,72.0,27.0,3100.0,1600.0,23.9,7.7,3840
12016,2014,Midden-Drenthe,11160,5555,5605,42.0,44.0,6.0,17.6,0.49,12.56,4730,34.0,85.0,15.0,62.0,37.0,3250.0,1450.0,21.7,7.6,5310
12092,2014,Overbetuwe,21485,10570,10915,45.0,44.0,7.0,21.65,0.93,20.27,8750,33.0,85.0,15.0,64.0,36.0,3300.0,1300.0,23.7,7.1,9965
12126,2014,Hof van Twente,8490,4210,4280,42.0,43.0,7.0,20.27,0.72,15.81,3795,34.0,78.0,22.0,54.0,45.0,3050.0,1400.0,21.1,8.6,4130
12183,2014,Neder-Betuwe,11180,5610,5570,47.0,45.0,4.0,22.33,0.89,19.91,3780,29.0,91.0,9.0,59.0,41.0,3550.0,1550.0,18.4,7.0,5170
12201,2014,Rijssen-Holten,7405,3555,3850,41.0,47.0,3.0,20.22,0.77,17.01,3065,31.0,56.0,44.0,60.0,38.0,2900.0,1350.0,18.7,6.0,3280
